Canadian Province/CMA,Gender,Mother tongue,Population,Province
Toronto,Men+,"Cushitic languages, n.i.e.",15,Ontario
Toronto,Men+,Amharic,745,Ontario
Toronto,Men+,Arabic,13895,Ontario
Toronto,Men+,Assyrian Neo-Aramaic,650,Ontario
Toronto,Men+,Chaldean Neo-Aramaic,250,Ontario
Toronto,Men+,"Aramaic, n.o.s.",120,Ontario
Toronto,Men+,Hebrew,510,Ontario
Toronto,Men+,Maltese,15,Ontario
Toronto,Men+,Tigrigna,1440,Ontario
Toronto,Men+,"Semitic languages, n.i.e.",25,Ontario
Toronto,Men+,Khmer (Cambodian),40,Ontario
Toronto,Men+,Vietnamese,1365,Ontario
Toronto,Men+,"Austro-Asiatic languages, n.i.e",10,Ontario
Toronto,Men+,Bikol,75,Ontario
Toronto,Men+,"Bisaya, n.o.s.",240,Ontario
Toronto,Men+,Cebuano,470,Ontario
Toronto,Men+,Hiligaynon,430,Ontario
Toronto,Men+,Ilocano,1460,Ontario
Toronto,Men+,Indonesian,220,Ontario
Toronto,Men+,Kankanaey,45,Ontario
Toronto,Men+,Kinaray-a,15,Ontario
Toronto,Men+,Malay,40,Ontario
Toronto,Men+,"Pampangan (Kapampangan, Pampango)",65,Ontario
Toronto,Men+,Pangasinan,75,Ontario
Toronto,Men+,"Tagalog (Pilipino, Filipino)",10750,Ontario
Toronto,Men+,Waray-Waray,60,Ontario
Toronto,Men+,"Austronesian languages, n.i.e.",125,Ontario
Toronto,Men+,Haitian Creole,90,Ontario
Toronto,Men+,Jamaican English Creole,30,Ontario
Toronto,Men+,Morisyen,125,Ontario
Toronto,Men+,"Creole, n.o.s.",150,Ontario
Toronto,Men+,"Creole languages, n.i.e.",50,Ontario
Toronto,Men+,Kannada,895,Ontario
Toronto,Men+,Malayalam,3380,Ontario
Toronto,Men+,Tamil,5235,Ontario
Toronto,Men+,Telugu,3825,Ontario
Toronto,Men+,Tulu,90,Ontario
Toronto,Men+,"Dravidian languages, n.i.e.",15,Ontario
Toronto,Men+,Georgian,190,Ontario
Toronto,Men+,Albanian,805,Ontario
Toronto,Men+,Armenian,850,Ontario
Toronto,Men+,Baltic languages,50,Ontario
Toronto,Men+,Latvian,15,Ontario
Toronto,Men+,Lithuanian,35,Ontario
Toronto,Men+,Slavic languages,5815,Ontario
Toronto,Men+,Belarusian,10,Ontario
Toronto,Men+,Bulgarian,110,Ontario
Toronto,Men+,Czech,125,Ontario
Toronto,Men+,Macedonian,60,Ontario
Toronto,Men+,Polish,510,Ontario
Toronto,Men+,Russian,3225,Ontario
Toronto,Men+,Serbo-Croatian,470,Ontario
Toronto,Men+,Bosnian,30,Ontario
Toronto,Men+,Croatian,180,Ontario
Toronto,Men+,Serbian,255,Ontario
Toronto,Men+,Slovak,305,Ontario
Toronto,Men+,Slovene (Slovenian),15,Ontario
Toronto,Men+,Ukrainian,1050,Ontario
Toronto,Men+,Irish,45,Ontario
Toronto,Men+,German,425,Ontario
Toronto,Men+,Swiss German,10,Ontario
Toronto,Men+,Yiddish,15,Ontario
Toronto,Men+,Afrikaans,205,Ontario
Toronto,Men+,Dutch,175,Ontario
Toronto,Men+,Danish,50,Ontario
Toronto,Men+,Icelandic,10,Ontario
Toronto,Men+,Norwegian,50,Ontario
Toronto,Men+,Swedish,50,Ontario
Toronto,Men+,Greek,280,Ontario
Toronto,Men+,Assamese,65,Ontario
Toronto,Men+,Bengali,3975,Ontario
Toronto,Men+,Gujarati,5825,Ontario
Toronto,Men+,Hindi,13740,Ontario
Toronto,Men+,Kacchi,80,Ontario
Toronto,Men+,Kashmiri,30,Ontario
Toronto,Men+,Konkani,285,Ontario
Toronto,Men+,Marathi,1820,Ontario
Toronto,Men+,Nepali,865,Ontario
Toronto,Men+,Odia,230,Ontario
Toronto,Men+,"Oriya, n.o.s.",100,Ontario
Toronto,Men+,Punjabi (Panjabi),13205,Ontario
Toronto,Men+,Rohingya,10,Ontario
Toronto,Men+,Sindhi,155,Ontario
Toronto,Men+,Sinhala (Sinhalese),525,Ontario
Toronto,Men+,Urdu,9065,Ontario
Toronto,Men+,"Indo-Aryan languages, n.i.e.",160,Ontario
Toronto,Men+,Baluchi,20,Ontario
Toronto,Men+,Kurdish,625,Ontario
Toronto,Men+,Parsi,15,Ontario
Toronto,Men+,Pashto,865,Ontario
Toronto,Men+,Dari,1920,Ontario
Toronto,Men+,Iranian Persian,4505,Ontario
Toronto,Men+,"Persian (Farsi), n.o.s.",580,Ontario
Toronto,Men+,"Iranian languages, n.i.e.",70,Ontario
Toronto,Men+,"Indo-Iranian languages, n.i.e.",10,Ontario
Toronto,Men+,Catalan,25,Ontario
Toronto,Men+,Italian,655,Ontario
Toronto,Men+,Portuguese,3825,Ontario
Toronto,Men+,Romanian,305,Ontario
Toronto,Men+,Spanish,6030,Ontario
Toronto,Men+,Japanese,260,Ontario
Toronto,Men+,Korean,1895,Ontario
Toronto,Men+,Mongolian,25,Ontario
Toronto,Men+,Akan (Twi),360,Ontario
Toronto,Men+,Bamanankan,15,Ontario
Toronto,Men+,Edo,85,Ontario
Toronto,Men+,Éwé,30,Ontario
Toronto,Men+,"Fulah (Pular, Pulaar, Fulfulde)",20,Ontario
Toronto,Men+,Ga,15,Ontario
Toronto,Men+,Ganda,85,Ontario
Toronto,Men+,Gikuyu,35,Ontario
Toronto,Men+,Igbo,220,Ontario
Toronto,Men+,Kinyarwanda (Rwanda),40,Ontario
Toronto,Men+,Lingala,20,Ontario
Toronto,Men+,Mwani,30,Ontario
Toronto,Men+,Rundi (Kirundi),40,Ontario
Toronto,Men+,Shona,80,Ontario
Toronto,Men+,Soninke,20,Ontario
Toronto,Men+,Sotho-Tswana languages,15,Ontario
Toronto,Men+,Swahili,215,Ontario
Toronto,Men+,Wolof,30,Ontario
Toronto,Men+,Yoruba,910,Ontario
Toronto,Men+,"Niger-Congo languages, n.i.e.",270,Ontario
Toronto,Men+,"Nilo-Saharan languages, n.i.e.",55,Ontario
Toronto,Men+,American Sign Language,10,Ontario
Toronto,Men+,"Sign languages, n.i.e.",10,Ontario
Toronto,Men+,Hakka,85,Ontario
Toronto,Men+,Mandarin,15950,Ontario
Toronto,Men+,Min Dong,10,Ontario
Toronto,Men+,"Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",125,Ontario
Toronto,Men+,Wu (Shanghainese),180,Ontario
Toronto,Men+,Yue (Cantonese),3135,Ontario
Toronto,Men+,"Chinese, n.o.s.",95,Ontario
Toronto,Men+,S'gaw Karen,10,Ontario
Toronto,Men+,Tibetan,525,Ontario
Toronto,Men+,"Tibeto-Burman languages, n.i.e.",25,Ontario
Toronto,Men+,Lao,10,Ontario
Toronto,Men+,Thai,35,Ontario
Toronto,Men+,Azerbaijani,345,Ontario
Toronto,Men+,Turkish,2285,Ontario
Toronto,Men+,Uyghur,25,Ontario
Toronto,Men+,Uzbek,85,Ontario
Toronto,Men+,"Turkic languages, n.i.e.",35,Ontario
Toronto,Men+,Estonian,10,Ontario
Toronto,Men+,Finnish,45,Ontario
Toronto,Men+,Hungarian,730,Ontario
Toronto,Men+,"Other languages, n.i.e.",40,Ontario
Toronto,Women+,English,52035,Ontario
Toronto,Women+,French,3250,Ontario
Toronto,Women+,"Berber languages, n.i.e.",10,Ontario
Toronto,Women+,Hausa,45,Ontario
Toronto,Women+,Coptic,80,Ontario
Toronto,Women+,Bilen,15,Ontario
Toronto,Women+,Oromo,65,Ontario
Toronto,Women+,Somali,805,Ontario
Toronto,Women+,"Cushitic languages, n.i.e.",20,Ontario
Toronto,Women+,Amharic,840,Ontario
Toronto,Women+,Arabic,13420,Ontario
Toronto,Women+,Assyrian Neo-Aramaic,740,Ontario
Toronto,Women+,Chaldean Neo-Aramaic,265,Ontario
Toronto,Women+,"Aramaic, n.o.s.",90,Ontario
Toronto,Women+,Harari,15,Ontario
Toronto,Women+,Hebrew,445,Ontario
Toronto,Women+,Tigrigna,1305,Ontario
Toronto,Women+,"Semitic languages, n.i.e.",10,Ontario
Toronto,Women+,Khmer (Cambodian),120,Ontario
Toronto,Women+,Vietnamese,2330,Ontario
Toronto,Women+,"Austro-Asiatic languages, n.i.e",10,Ontario
Toronto,Women+,Bikol,70,Ontario
Toronto,Women+,"Bisaya, n.o.s.",305,Ontario
Toronto,Women+,Cebuano,590,Ontario
Toronto,Women+,Hiligaynon,515,Ontario
Toronto,Women+,Ilocano,1850,Ontario
Toronto,Women+,Indonesian,330,Ontario
Toronto,Women+,Kankanaey,70,Ontario
Toronto,Women+,Kinaray-a,30,Ontario
Toronto,Women+,Malay,75,Ontario
Toronto,Women+,"Pampangan (Kapampangan, Pampango)",95,Ontario
Toronto,Women+,Pangasinan,65,Ontario
Toronto,Women+,"Tagalog (Pilipino, Filipino)",14350,Ontario
Toronto,Women+,Waray-Waray,105,Ontario
Toronto,Women+,"Austronesian languages, n.i.e.",225,Ontario
Toronto,Women+,Haitian Creole,65,Ontario
Toronto,Women+,Jamaican English Creole,45,Ontario
Toronto,Women+,Morisyen,135,Ontario
Toronto,Women+,"Creole, n.o.s.",175,Ontario
Toronto,Women+,"Creole languages, n.i.e.",40,Ontario
Toronto,Women+,Kannada,870,Ontario
Toronto,Women+,Malayalam,3255,Ontario
Toronto,Women+,Tamil,5285,Ontario
Toronto,Women+,Telugu,3215,Ontario
Toronto,Women+,Tulu,95,Ontario
Toronto,Women+,"Dravidian languages, n.i.e.",40,Ontario
Toronto,Women+,Georgian,175,Ontario
Toronto,Women+,Albanian,865,Ontario
Toronto,Women+,Armenian,845,Ontario
Toronto,Women+,Baltic languages,95,Ontario
Toronto,Women+,Latvian,40,Ontario
Toronto,Women+,Lithuanian,60,Ontario
Toronto,Women+,Slavic languages,7530,Ontario
Toronto,Women+,Belarusian,25,Ontario
Toronto,Women+,Bulgarian,110,Ontario
Toronto,Women+,Czech,150,Ontario
Toronto,Women+,Macedonian,65,Ontario
Toronto,Women+,Polish,585,Ontario
Toronto,Women+,Russian,4680,Ontario
Toronto,Women+,Serbo-Croatian,455,Ontario
Toronto,Women+,Bosnian,25,Ontario
Toronto,Women+,Croatian,140,Ontario
Toronto,Women+,Serbian,280,Ontario
Toronto,Women+,Slovak,285,Ontario
Toronto,Women+,Slovene (Slovenian),20,Ontario
Toronto,Women+,Ukrainian,1275,Ontario
Toronto,Women+,Irish,25,Ontario
Toronto,Women+,Welsh,10,Ontario
Toronto,Women+,German,345,Ontario
Toronto,Women+,Swiss German,20,Ontario
Toronto,Women+,Yiddish,10,Ontario
Toronto,Women+,Afrikaans,145,Ontario
Toronto,Women+,Dutch,145,Ontario
Toronto,Women+,Vlaams (Flemish),10,Ontario
Toronto,Women+,Danish,20,Ontario
Toronto,Women+,Norwegian,10,Ontario
Toronto,Women+,Swedish,60,Ontario
Toronto,Women+,Greek,300,Ontario
Toronto,Women+,Assamese,45,Ontario
Toronto,Women+,Bengali,3890,Ontario
Toronto,Women+,Gujarati,5510,Ontario
Toronto,Women+,Hindi,12610,Ontario
Toronto,Women+,Kacchi,105,Ontario
Toronto,Women+,Kashmiri,25,Ontario
Toronto,Women+,Konkani,320,Ontario
Toronto,Women+,Marathi,1805,Ontario
Toronto,Women+,Nepali,825,Ontario
Toronto,Women+,Odia,210,Ontario
Toronto,Women+,"Oriya, n.o.s.",140,Ontario
Toronto,Women+,Punjabi (Panjabi),11615,Ontario
Toronto,Women+,Rohingya,10,Ontario
Toronto,Women+,Sindhi,140,Ontario
Toronto,Women+,Sinhala (Sinhalese),535,Ontario
Toronto,Women+,Urdu,9320,Ontario
Toronto,Women+,"Indo-Aryan languages, n.i.e.",170,Ontario
Toronto,Women+,Baluchi,25,Ontario
Toronto,Women+,Kurdish,540,Ontario
Toronto,Women+,Pashto,885,Ontario
Toronto,Women+,Dari,1990,Ontario
Toronto,Women+,Iranian Persian,5055,Ontario
Toronto,Women+,"Persian (Farsi), n.o.s.",630,Ontario
Toronto,Women+,"Iranian languages, n.i.e.",55,Ontario
Toronto,Women+,"Indo-Iranian languages, n.i.e.",10,Ontario
Toronto,Women+,Catalan,20,Ontario
Toronto,Women+,Italian,510,Ontario
Toronto,Women+,Portuguese,3965,Ontario
Toronto,Women+,Romanian,475,Ontario
Toronto,Women+,Spanish,7150,Ontario
Toronto,Women+,Japanese,855,Ontario
Toronto,Women+,Korean,2875,Ontario
Toronto,Women+,Mongolian,70,Ontario
Toronto,Women+,Akan (Twi),300,Ontario
Toronto,Women+,Bamanankan,25,Ontario
Toronto,Women+,Edo,130,Ontario
Toronto,Women+,Éwé,15,Ontario
Toronto,Women+,"Fulah (Pular, Pulaar, Fulfulde)",15,Ontario
Toronto,Women+,Ga,35,Ontario
Toronto,Women+,Ganda,85,Ontario
Toronto,Women+,Gikuyu,20,Ontario
Toronto,Women+,Igbo,255,Ontario
Toronto,Women+,Kinyarwanda (Rwanda),65,Ontario
Toronto,Women+,Lingala,35,Ontario
Toronto,Women+,Mwani,30,Ontario
Toronto,Women+,Ndebele,20,Ontario
Toronto,Women+,Rundi (Kirundi),75,Ontario
Toronto,Women+,Shona,120,Ontario
Toronto,Women+,Soninke,30,Ontario
Toronto,Women+,Sotho-Tswana languages,30,Ontario
Toronto,Women+,Swahili,285,Ontario
Toronto,Women+,Wolof,25,Ontario
Toronto,Women+,Yoruba,900,Ontario
Toronto,Women+,"Niger-Congo languages, n.i.e.",335,Ontario
Toronto,Women+,"Nilo-Saharan languages, n.i.e.",45,Ontario
Toronto,Women+,"African, n.o.s.",15,Ontario
Toronto,Women+,American Sign Language,15,Ontario
Toronto,Women+,"Sign languages, n.i.e.",10,Ontario
Toronto,Women+,Hakka,155,Ontario
Toronto,Women+,Mandarin,22125,Ontario
Toronto,Women+,Min Dong,15,Ontario
Toronto,Women+,"Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",240,Ontario
Toronto,Women+,Wu (Shanghainese),230,Ontario
Toronto,Women+,Yue (Cantonese),4905,Ontario
Toronto,Women+,"Chinese, n.o.s.",155,Ontario
Toronto,Women+,"Chinese languages, n.i.e.",10,Ontario
Toronto,Women+,S'gaw Karen,10,Ontario
Toronto,Women+,Tibetan,430,Ontario
Toronto,Women+,"Tibeto-Burman languages, n.i.e.",40,Ontario
Toronto,Women+,"Sino-Tibetan languages, n.i.e.",20,Ontario
Toronto,Women+,Lao,10,Ontario
Toronto,Women+,Thai,160,Ontario
Toronto,Women+,Azerbaijani,315,Ontario
Toronto,Women+,Kazakh,25,Ontario
Toronto,Women+,Turkish,2055,Ontario
Toronto,Women+,Uyghur,50,Ontario
Toronto,Women+,Uzbek,80,Ontario
Toronto,Women+,"Turkic languages, n.i.e.",40,Ontario
Toronto,Women+,Estonian,20,Ontario
Toronto,Women+,Finnish,60,Ontario
Toronto,Women+,Hungarian,670,Ontario
Toronto,Women+,"Other languages, n.i.e.",40,Ontario
Windsor,Men+,English,1915,Ontario
Windsor,Men+,French,95,Ontario
Windsor,Men+,Somali,195,Ontario
Windsor,Men+,Arabic,2505,Ontario
Windsor,Men+,Assyrian Neo-Aramaic,120,Ontario
Windsor,Men+,Chaldean Neo-Aramaic,545,Ontario
Windsor,Men+,"Aramaic, n.o.s.",30,Ontario
Windsor,Men+,Tigrigna,65,Ontario
Windsor,Men+,Vietnamese,20,Ontario
Windsor,Men+,"Tagalog (Pilipino, Filipino)",95,Ontario
Windsor,Men+,Haitian Creole,10,Ontario
Windsor,Men+,Jamaican English Creole,10,Ontario
Windsor,Men+,Sango,10,Ontario
Windsor,Men+,"Creole, n.o.s.",15,Ontario
Windsor,Men+,"Creole languages, n.i.e.",10,Ontario
Windsor,Men+,Kannada,20,Ontario
Windsor,Men+,Malayalam,85,Ontario
Windsor,Men+,Tamil,95,Ontario
Windsor,Men+,Telugu,165,Ontario
Windsor,Men+,Albanian,25,Ontario
Windsor,Men+,Armenian,10,Ontario
Windsor,Men+,Slavic languages,70,Ontario
Windsor,Men+,Bulgarian,10,Ontario
Windsor,Men+,Macedonian,10,Ontario
Windsor,Men+,Polish,20,Ontario
Windsor,Men+,Serbo-Croatian,15,Ontario
Windsor,Men+,Croatian,10,Ontario
Windsor,Men+,German,120,Ontario
Windsor,Men+,"Low German, n.o.s.",20,Ontario
Windsor,Men+,Plautdietsch,105,Ontario
Windsor,Men+,Bengali,100,Ontario
Windsor,Men+,Gujarati,205,Ontario
Windsor,Men+,Hindi,185,Ontario
Windsor,Men+,Marathi,15,Ontario
Windsor,Men+,Nepali,35,Ontario
Windsor,Men+,Punjabi (Panjabi),390,Ontario
Windsor,Men+,Urdu,200,Ontario
Windsor,Men+,Kurdish,90,Ontario
Windsor,Men+,Dari,10,Ontario
Windsor,Men+,Iranian Persian,20,Ontario
Windsor,Men+,"Persian (Farsi), n.o.s.",10,Ontario
Windsor,Men+,Italian,10,Ontario
Windsor,Men+,Portuguese,20,Ontario
Windsor,Men+,Romanian,40,Ontario
Windsor,Men+,Spanish,210,Ontario
Windsor,Men+,Korean,45,Ontario
Windsor,Men+,Kinyarwanda (Rwanda),15,Ontario
Windsor,Men+,Lingala,10,Ontario
Windsor,Men+,Rundi (Kirundi),30,Ontario
Windsor,Men+,Swahili,55,Ontario
Windsor,Men+,Yoruba,50,Ontario
Windsor,Men+,"Niger-Congo languages, n.i.e.",20,Ontario
Windsor,Men+,Mandarin,200,Ontario
Windsor,Men+,Wu (Shanghainese),10,Ontario
Windsor,Men+,Yue (Cantonese),60,Ontario
Windsor,Men+,Burmese,10,Ontario
Windsor,Men+,Turkish,85,Ontario
Windsor,Men+,Hungarian,30,Ontario
Windsor,Women+,English,1780,Ontario
Windsor,Women+,French,130,Ontario
Windsor,Women+,Somali,125,Ontario
Windsor,Women+,Amharic,10,Ontario
Windsor,Women+,Arabic,2535,Ontario
Windsor,Women+,Assyrian Neo-Aramaic,150,Ontario
Windsor,Women+,Chaldean Neo-Aramaic,575,Ontario
Windsor,Women+,"Aramaic, n.o.s.",25,Ontario
Windsor,Women+,Tigrigna,50,Ontario
Windsor,Women+,Khmer (Cambodian),10,Ontario
Windsor,Women+,Vietnamese,60,Ontario
Windsor,Women+,Hiligaynon,10,Ontario
Windsor,Women+,"Tagalog (Pilipino, Filipino)",220,Ontario
Windsor,Women+,"Austronesian languages, n.i.e.",10,Ontario
Windsor,Women+,Haitian Creole,15,Ontario
Windsor,Women+,"Creole, n.o.s.",20,Ontario
Windsor,Women+,Malayalam,65,Ontario
Windsor,Women+,Tamil,65,Ontario
Windsor,Women+,Telugu,85,Ontario
Windsor,Women+,Hmong-Mien languages,10,Ontario
Windsor,Women+,Albanian,40,Ontario
Windsor,Women+,Armenian,15,Ontario
Windsor,Women+,Slavic languages,100,Ontario
Windsor,Women+,Bulgarian,10,Ontario
Windsor,Women+,Polish,30,Ontario
Windsor,Women+,Russian,20,Ontario
Windsor,Women+,Serbo-Croatian,35,Ontario
Windsor,Women+,Bosnian,10,Ontario
Windsor,Women+,Croatian,10,Ontario
Windsor,Women+,Serbian,15,Ontario
Windsor,Women+,German,110,Ontario
Windsor,Women+,"Low German, n.o.s.",15,Ontario
Windsor,Women+,Plautdietsch,55,Ontario
Windsor,Women+,Greek,10,Ontario
Windsor,Women+,Bengali,50,Ontario
Windsor,Women+,Gujarati,155,Ontario
Windsor,Women+,Hindi,160,Ontario
Windsor,Women+,Marathi,10,Ontario
Windsor,Women+,Nepali,20,Ontario
Windsor,Women+,Punjabi (Panjabi),275,Ontario
Windsor,Women+,Urdu,225,Ontario
Windsor,Women+,"Indo-Aryan languages, n.i.e.",10,Ontario
Windsor,Women+,Kurdish,95,Ontario
Windsor,Women+,Dari,15,Ontario
Windsor,Women+,Iranian Persian,50,Ontario
Windsor,Women+,Italian,30,Ontario
Windsor,Women+,Portuguese,40,Ontario
Windsor,Women+,Romanian,25,Ontario
Windsor,Women+,Spanish,290,Ontario
Windsor,Women+,Korean,40,Ontario
Windsor,Women+,Akan (Twi),10,Ontario
Windsor,Women+,Igbo,10,Ontario
Windsor,Women+,Kinyarwanda (Rwanda),15,Ontario
Windsor,Women+,Lingala,10,Ontario
Windsor,Women+,Rundi (Kirundi),30,Ontario
Windsor,Women+,Swahili,95,Ontario
Windsor,Women+,Yoruba,45,Ontario
Windsor,Women+,"Niger-Congo languages, n.i.e.",45,Ontario
Windsor,Women+,Mandarin,385,Ontario
Windsor,Women+,Yue (Cantonese),35,Ontario
Windsor,Women+,Thai,30,Ontario
Windsor,Women+,Turkish,75,Ontario
Windsor,Women+,Uyghur,10,Ontario
Windsor,Women+,Hungarian,25,Ontario
Manitoba,Men+,English,7450,Manitoba
Manitoba,Men+,French,440,Manitoba
Manitoba,Men+,Kabyle,15,Manitoba
Manitoba,Men+,Hausa,20,Manitoba
Manitoba,Men+,Bilen,115,Manitoba
Manitoba,Men+,Oromo,30,Manitoba
Manitoba,Men+,Somali,170,Manitoba
Manitoba,Men+,Amharic,220,Manitoba
Manitoba,Men+,Arabic,1515,Manitoba
Manitoba,Men+,Hebrew,130,Manitoba
Manitoba,Men+,Tigrigna,715,Manitoba
Manitoba,Men+,Vietnamese,220,Manitoba
Manitoba,Men+,"Bisaya, n.o.s.",115,Manitoba
Manitoba,Men+,Cebuano,280,Manitoba
Manitoba,Men+,Fijian,35,Manitoba
Manitoba,Men+,Hiligaynon,55,Manitoba
Manitoba,Men+,Ilocano,150,Manitoba
Manitoba,Men+,Indonesian,15,Manitoba
Manitoba,Men+,"Pampangan (Kapampangan, Pampango)",120,Manitoba
Manitoba,Men+,Pangasinan,10,Manitoba
Manitoba,Men+,"Tagalog (Pilipino, Filipino)",4335,Manitoba
Manitoba,Men+,"Austronesian languages, n.i.e.",25,Manitoba
Manitoba,Men+,Haitian Creole,25,Manitoba
Manitoba,Men+,Sango,10,Manitoba
Manitoba,Men+,"Creole, n.o.s.",10,Manitoba
Manitoba,Men+,Kannada,10,Manitoba
Manitoba,Men+,Malayalam,245,Manitoba
Manitoba,Men+,Tamil,45,Manitoba
Manitoba,Men+,Telugu,50,Manitoba
Manitoba,Men+,Albanian,10,Manitoba
Manitoba,Men+,Armenian,10,Manitoba
Manitoba,Men+,Slavic languages,1295,Manitoba
Manitoba,Men+,Bulgarian,25,Manitoba
Manitoba,Men+,Polish,25,Manitoba
Manitoba,Men+,Russian,955,Manitoba
Manitoba,Men+,Serbo-Croatian,30,Manitoba
Manitoba,Men+,Croatian,10,Manitoba
Manitoba,Men+,Serbian,20,Manitoba
Manitoba,Men+,Slovak,10,Manitoba
Manitoba,Men+,Ukrainian,275,Manitoba
Manitoba,Men+,German,410,Manitoba
Manitoba,Men+,Afrikaans,75,Manitoba
Manitoba,Men+,Dutch,50,Manitoba
Manitoba,Men+,"Low German, n.o.s.",55,Manitoba
Manitoba,Men+,Plautdietsch,135,Manitoba
Manitoba,Men+,Norwegian,10,Manitoba
Manitoba,Men+,Greek,80,Manitoba
Manitoba,Men+,Bengali,260,Manitoba
Manitoba,Men+,Gujarati,1050,Manitoba
Manitoba,Men+,Hindi,710,Manitoba
Manitoba,Men+,Konkani,10,Manitoba
Manitoba,Men+,Marathi,35,Manitoba
Manitoba,Men+,Nepali,75,Manitoba
Manitoba,Men+,Punjabi (Panjabi),4520,Manitoba
Manitoba,Men+,Sindhi,15,Manitoba
Manitoba,Men+,Sinhala (Sinhalese),90,Manitoba
Manitoba,Men+,Urdu,535,Manitoba
Manitoba,Men+,Kurdish,320,Manitoba
Manitoba,Men+,Pashto,35,Manitoba
Manitoba,Men+,Dari,40,Manitoba
Manitoba,Men+,Iranian Persian,125,Manitoba
Manitoba,Men+,"Persian (Farsi), n.o.s.",15,Manitoba
Manitoba,Men+,Italian,50,Manitoba
Manitoba,Men+,Portuguese,795,Manitoba
Manitoba,Men+,Romanian,20,Manitoba
Manitoba,Men+,Spanish,750,Manitoba
Manitoba,Men+,Japanese,25,Manitoba
Manitoba,Men+,Korean,430,Manitoba
Manitoba,Men+,Akan (Twi),50,Manitoba
Manitoba,Men+,Edo,45,Manitoba
Manitoba,Men+,Igbo,245,Manitoba
Manitoba,Men+,Kinyarwanda (Rwanda),15,Manitoba
Manitoba,Men+,Rundi (Kirundi),15,Manitoba
Manitoba,Men+,Shona,25,Manitoba
Manitoba,Men+,Swahili,225,Manitoba
Manitoba,Men+,Wojenaka,10,Manitoba
Manitoba,Men+,Wolof,30,Manitoba
Manitoba,Men+,Yoruba,765,Manitoba
Manitoba,Men+,"Niger-Congo languages, n.i.e.",115,Manitoba
Manitoba,Men+,Dinka,35,Manitoba
Manitoba,Men+,"Nilo-Saharan languages, n.i.e.",25,Manitoba
Manitoba,Men+,American Sign Language,10,Manitoba
Manitoba,Men+,Mandarin,1445,Manitoba
Manitoba,Men+,"Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",10,Manitoba
Manitoba,Men+,Wu (Shanghainese),10,Manitoba
Manitoba,Men+,Yue (Cantonese),285,Manitoba
Manitoba,Men+,"Chinese, n.o.s.",20,Manitoba
Manitoba,Men+,S'gaw Karen,20,Manitoba
Manitoba,Men+,Thai,10,Manitoba
Manitoba,Men+,Azerbaijani,15,Manitoba
Manitoba,Men+,Turkish,30,Manitoba
Manitoba,Men+,Hungarian,15,Manitoba
Manitoba,Women+,English,7025,Manitoba
Manitoba,Women+,French,505,Manitoba
Manitoba,Women+,Indigenous languages,10,Manitoba
Manitoba,Women+,Kabyle,20,Manitoba
Manitoba,Women+,Hausa,20,Manitoba
Manitoba,Women+,Bilen,100,Manitoba
Manitoba,Women+,Oromo,35,Manitoba
Manitoba,Women+,Somali,235,Manitoba
Manitoba,Women+,Amharic,335,Manitoba
Manitoba,Women+,Arabic,1370,Manitoba
Manitoba,Women+,Hebrew,110,Manitoba
Manitoba,Women+,Tigrigna,655,Manitoba
Manitoba,Women+,"Semitic languages, n.i.e.",10,Manitoba
Manitoba,Women+,Vietnamese,285,Manitoba
Manitoba,Women+,"Bisaya, n.o.s.",120,Manitoba
Manitoba,Women+,Cebuano,235,Manitoba
Manitoba,Women+,Fijian,25,Manitoba
Manitoba,Women+,Hiligaynon,65,Manitoba
Manitoba,Women+,Ilocano,210,Manitoba
Manitoba,Women+,Indonesian,15,Manitoba
Manitoba,Women+,"Pampangan (Kapampangan, Pampango)",85,Manitoba
Manitoba,Women+,Pangasinan,20,Manitoba
Manitoba,Women+,"Tagalog (Pilipino, Filipino)",5010,Manitoba
Manitoba,Women+,Waray-Waray,10,Manitoba
Manitoba,Women+,"Austronesian languages, n.i.e.",20,Manitoba
Manitoba,Women+,Haitian Creole,15,Manitoba
Manitoba,Women+,Morisyen,10,Manitoba
Manitoba,Women+,Sango,25,Manitoba
Manitoba,Women+,"Creole, n.o.s.",15,Manitoba
Manitoba,Women+,"Creole languages, n.i.e.",10,Manitoba
Manitoba,Women+,Kannada,20,Manitoba
Manitoba,Women+,Malayalam,215,Manitoba
Manitoba,Women+,Tamil,60,Manitoba
Manitoba,Women+,Telugu,60,Manitoba
Manitoba,Women+,Albanian,30,Manitoba
Manitoba,Women+,Armenian,10,Manitoba
Manitoba,Women+,Slavic languages,1510,Manitoba
Manitoba,Women+,Bulgarian,20,Manitoba
Manitoba,Women+,Czech,10,Manitoba
Manitoba,Women+,Polish,50,Manitoba
Manitoba,Women+,Russian,1065,Manitoba
Manitoba,Women+,Serbo-Croatian,10,Manitoba
Manitoba,Women+,Serbian,10,Manitoba
Manitoba,Women+,Slovak,10,Manitoba
Manitoba,Women+,Ukrainian,360,Manitoba
Manitoba,Women+,German,435,Manitoba
Manitoba,Women+,Afrikaans,55,Manitoba
Manitoba,Women+,Dutch,30,Manitoba
Manitoba,Women+,"Low German, n.o.s.",70,Manitoba
Manitoba,Women+,Plautdietsch,170,Manitoba
Manitoba,Women+,Danish,15,Manitoba
Manitoba,Women+,Greek,75,Manitoba
