Canadian Province/CMA,Gender,Mother tongue,Population,Province
St. John's,Women+,Slavic languages,25,Newfoundland and Labrador
St. John's,Women+,Russian,20,Newfoundland and Labrador
St. John's,Women+,Bengali,25,Newfoundland and Labrador
St. John's,Women+,Hindi,15,Newfoundland and Labrador
St. John's,Women+,Punjabi (Panjabi),10,Newfoundland and Labrador
St. John's,Women+,Sinhala (Sinhalese),10,Newfoundland and Labrador
St. John's,Women+,Urdu,30,Newfoundland and Labrador
St. John's,Women+,Kurdish,15,Newfoundland and Labrador
St. John's,Women+,Iranian Persian,15,Newfoundland and Labrador
St. John's,Women+,Portuguese,15,Newfoundland and Labrador
St. John's,Women+,Romanian,10,Newfoundland and Labrador
St. John's,Women+,Spanish,30,Newfoundland and Labrador
St. John's,Women+,Korean,25,Newfoundland and Labrador
St. John's,Women+,Igbo,15,Newfoundland and Labrador
St. John's,Women+,Shona,10,Newfoundland and Labrador
St. John's,Women+,Swahili,20,Newfoundland and Labrador
St. John's,Women+,Yoruba,25,Newfoundland and Labrador
St. John's,Women+,"Niger-Congo languages, n.i.e.",15,Newfoundland and Labrador
St. John's,Women+,Mandarin,110,Newfoundland and Labrador
St. John's,Women+,Yue (Cantonese),10,Newfoundland and Labrador
St. John's,Women+,Kazakh,10,Newfoundland and Labrador
Prince Edward Island,Men+,English,625,Prince Edward Island
Prince Edward Island,Men+,French,45,Prince Edward Island
Prince Edward Island,Men+,Arabic,210,Prince Edward Island
Prince Edward Island,Men+,"Aramaic, n.o.s.",25,Prince Edward Island
Prince Edward Island,Men+,Hebrew,10,Prince Edward Island
Prince Edward Island,Men+,Vietnamese,225,Prince Edward Island
Prince Edward Island,Men+,Hiligaynon,15,Prince Edward Island
Prince Edward Island,Men+,"Tagalog (Pilipino, Filipino)",220,Prince Edward Island
Prince Edward Island,Men+,"Creole, n.o.s.",10,Prince Edward Island
Prince Edward Island,Men+,"Creole languages, n.i.e.",10,Prince Edward Island
Prince Edward Island,Men+,Malayalam,105,Prince Edward Island
Prince Edward Island,Men+,Tamil,15,Prince Edward Island
Prince Edward Island,Men+,Telugu,10,Prince Edward Island
Prince Edward Island,Men+,Albanian,20,Prince Edward Island
Prince Edward Island,Men+,Slavic languages,55,Prince Edward Island
Prince Edward Island,Men+,Russian,40,Prince Edward Island
Prince Edward Island,Men+,German,10,Prince Edward Island
Prince Edward Island,Men+,Dutch,10,Prince Edward Island
Prince Edward Island,Men+,Bengali,20,Prince Edward Island
Prince Edward Island,Men+,Gujarati,45,Prince Edward Island
Prince Edward Island,Men+,Hindi,40,Prince Edward Island
Prince Edward Island,Men+,Marathi,20,Prince Edward Island
Prince Edward Island,Men+,Nepali,10,Prince Edward Island
Prince Edward Island,Men+,Punjabi (Panjabi),120,Prince Edward Island
Prince Edward Island,Men+,Urdu,10,Prince Edward Island
Prince Edward Island,Men+,"Indo-Aryan languages, n.i.e.",10,Prince Edward Island
