Canadian Province/CMA,Visible minority,"Highest certificate, diploma or degree",Gender,Total - Labour force status,In the labour force,Employed,Unemployed,Not in the labour force,Participation rate,Employment rate,Unemployment rate
Alberta,Multiple visible minorities,University certificate or diploma below bachelor level,Men+ ,35.0,35.0,35.0,0.0,0.0,100.0,100.0,0.0
Alberta,Multiple visible minorities,University certificate or diploma below bachelor level,Women+ ,50.0,45.0,35.0,10.0,0.0,90.0,70.0,22.2
Alberta,South Asian,Apprenticeship or trades certificate or diploma,Men+ ,500.0,455.0,400.0,50.0,50.0,91.0,80.0,11.0
Alberta,South Asian,Apprenticeship or trades certificate or diploma,Women+ ,190.0,135.0,125.0,15.0,50.0,71.1,65.8,11.1
Alberta,South Asian,Bachelor's degree or higher,Men+ ,9410.0,8670.0,8090.0,580.0,735.0,92.1,86.0,6.7
Alberta,South Asian,Bachelor's degree or higher,Women+ ,10860.0,8215.0,6905.0,1310.0,2640.0,75.6,63.6,15.9
Alberta,South Asian,"College, CEGEP or other non-university certificate or diploma",Men+ ,2390.0,2185.0,2045.0,135.0,210.0,91.4,85.6,6.2
Alberta,South Asian,"College, CEGEP or other non-university certificate or diploma",Women+ ,1550.0,1170.0,1000.0,165.0,380.0,75.5,64.5,14.1
Alberta,South Asian,High (secondary) school diploma or equivalency certificate,Men+ ,3065.0,2470.0,2235.0,240.0,600.0,80.6,72.9,9.7
Alberta,South Asian,High (secondary) school diploma or equivalency certificate,Women+ ,2605.0,1405.0,1120.0,285.0,1205.0,53.9,43.0,20.3
Alberta,South Asian,"No certificate, diploma or degree",Men+ ,1415.0,685.0,570.0,120.0,735.0,48.4,40.3,17.5
Alberta,South Asian,"No certificate, diploma or degree",Women+ ,2040.0,555.0,400.0,155.0,1485.0,27.2,19.6,27.9
Alberta,South Asian,University certificate or diploma below bachelor level,Men+ ,1040.0,965.0,905.0,55.0,75.0,92.8,87.0,5.7
Alberta,South Asian,University certificate or diploma below bachelor level,Women+ ,885.0,730.0,650.0,80.0,155.0,82.5,73.4,11.0
Alberta,Southeast Asian,Apprenticeship or trades certificate or diploma,Men+ ,70.0,70.0,70.0,0.0,0.0,100.0,100.0,0.0
Alberta,Southeast Asian,Apprenticeship or trades certificate or diploma,Women+ ,65.0,45.0,45.0,0.0,20.0,69.2,69.2,0.0
Alberta,Southeast Asian,Bachelor's degree or higher,Men+ ,415.0,350.0,330.0,25.0,60.0,84.3,79.5,7.1
Alberta,Southeast Asian,Bachelor's degree or higher,Women+ ,885.0,730.0,650.0,75.0,155.0,82.5,73.4,10.3
Alberta,Southeast Asian,"College, CEGEP or other non-university certificate or diploma",Men+ ,200.0,190.0,170.0,20.0,10.0,95.0,85.0,10.5
Alberta,Southeast Asian,"College, CEGEP or other non-university certificate or diploma",Women+ ,340.0,275.0,245.0,25.0,65.0,80.9,72.1,9.1
Alberta,Southeast Asian,High (secondary) school diploma or equivalency certificate,Men+ ,395.0,275.0,270.0,10.0,120.0,69.6,68.4,3.6
